Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,1 855 000 ,Not available,Premium,робот,передний,Бензин,Москва
Geely Monjaro I,Geely,Monjaro I,Новый,2.0,238,2024,3 189 990 ,Not available,Luxury,автомат,полный,Бензин,Москва
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,11 174,1.5,113,2023,1 500 000,1 500 000,серый,вариатор,передний,Бензин,Москва
Geely Coolray I,Geely,Coolray I,50 000,1.5,150,2020,Not available,Not available,красный,робот,передний,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,Новый,1.5,147,2024,2 337 522 ,Not available,Flagship,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,100 000,1.5,147,2021,1 109 900,1 109 900,чёрный,вариатор,передний,Бензин,Ржавки
Haval F7x I Рестайлинг,Haval,F7x I Рестайлинг,Новый,2.0,190,2024,3 277 451 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 449 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,78 000,1.5,147,2020,1 045 000,1 045 000,красный,робот,передний,Бензин,Москва
Haval Jolion I,Haval,Jolion I,267 803,1.5,143,2022,1 699 000,1 699 000,белый,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 170 000 ,Not available,Elite,робот,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,2 009 000 ,Not available,Tech+,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,4 297,2.0,192,2024,2 559 000,2 559 000,чёрный,робот,полный,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.0,218,2024,4 825 780 ,Not available,Premium,автомат,полный,Бензин,Балашиха
Geely Monjaro I,Geely,Monjaro I,33 700,2.0,238,2023,3 200 000,3 200 000,серый,автомат,полный,Бензин,Москва
Chery Tiggo (T11) I,Chery,Tiggo (T11) I,139 000,2.0,136,2009,529 000,529 000,зелёный,автомат,полный,Бензин,Москва
Haval F7x I,Haval,F7x I,53 000,2.0,190,2021,2 400 000,2 400 000,серый,робот,полный,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.0,218,2024,4 825 780 ,Not available,Premium,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,63 000,1.5,113,2023,Not available,Not available,белый,вариатор,передний,Бензин,Москва
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,36 118,1.5,147,2022,1 390 000,1 390 000,серый,вариатор,передний,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,Новый,1.5,147,2024,1 984 990 ,Not available,Comfort,робот,передний,Бензин,Москва
Geely Emgrand II,Geely,Emgrand II,Новый,1.5,122,2024,2 263 990 ,Not available,Flagship,автомат,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,1,2.0,238,2025,3 588 888,3 588 888,чёрный,автомат,полный,Бензин,Москва
Chery Tiggo 8 Plus I,Chery,Tiggo 8 Plus I,126 326,1.5,156,2020,1 535 000,1 535 000,белый,вариатор,передний,Бензин,Москва
Haval Jolion I,Haval,Jolion I,6 000,1.5,150,2021,1 750 000,1 750 000,голубой,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 055 000 ,Not available,Ultra AWD,робот,полный,Бензин,Москва
Chery Tiggo 5 I Рестайлинг,Chery,Tiggo 5 I Рестайлинг,36 000,2.0,136,2018,Not available,Not available,коричневый,механика,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,147,2024,1 470 000 ,Not available,Style,вариатор,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,8 400,1.6,150,2024,1 800 000,1 800 000,чёрный,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 561 300 ,Not available,Comfort,механика,передний,Бензин,Москва
Haval H5 II,Haval,H5 II,Новый,2.0,150,2024,2 749 000 ,Not available,Elite,автомат,полный,Дизель,Москва
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,7 000,1.5,113,2022,Not available,Not available,чёрный,механика,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,143,2024,2 799 000,2 799 000,Premium,робот,передний,Бензин,Москва
Haval F7x I,Haval,F7x I,53 000,1.5,150,2021,Not available,Not available,белый,робот,полный,Бензин,Москва
Haval Dargo,Haval,Dargo,Новый,2.0,192,2024,2 456 300 ,Not available,Elite,робот,полный,Бензин,Москва
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,1 610 000 ,Not available,Family,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 720 000 ,Not available,Prime AWD,робот,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,50 900,1.5,177,2022,Not available,Not available,чёрный,робот,полный,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 750 000 ,Not available,Ultra,автомат,полный,Бензин,Москва
Haval F7 I,Haval,F7 I,135 000,2.0,190,2019,Not available,Not available,чёрный,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 349 961,2 349 961,Active,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,3 800,1.6,150,2024,1 990 000,1 990 000,белый,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,1 514 000 ,Not available,Comfort,механика,передний,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 181 190 ,Not available,Luxury,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,2 379 000,2 379 000,Active,робот,передний,Бензин,Москва
Haval H6 Coupe I,Haval,H6 Coupe I,113 000,2.0,190,2018,1 100 000,1 100 000,чёрный,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,33 580,1.5,147,2022,Not available,Not available,серый,вариатор,передний,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 454 190 ,Not available,Flagship Sport,робот,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,5 050 000,5 050 000,Ultra,автомат,полный,Бензин,Москва
Haval F7x I,Haval,F7x I,90 000,2.0,190,2021,Not available,Not available,синий,робот,полный,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.0,218,2024,4 199 000 ,Not available,Premium,автомат,полный,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,2 709 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,25 000,1.6,186,2023,Not available,Not available,чёрный,робот,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,177,2024,3 339 580,3 339 580,Tech+,робот,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,2 306 430 ,Not available,Elite,робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 030 000 ,Not available,Active,робот,передний,Бензин,Москва
Geely GS I,Geely,GS I,73 000,1.8,133,2019,Not available,Not available,белый,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,16 200,1.5,235,2023,2 250 000,2 250 000,белый,автомат,передний,Гибрид,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,147,2024,2 039 503 ,Not available,Style,вариатор,передний,Бензин,Подольск
Geely Atlas Pro,Geely,Atlas Pro,37 000,1.5,177,2023,1 850 000,1 850 000,серый,робот,полный,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,24 962,2.0,190,2022,1 650 000,1 650 000,белый,робот,полный,Бензин,Москва
Haval H6 Coupe I,Haval,H6 Coupe I,113 000,2.0,190,2018,1 100 000,1 100 000,чёрный,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 820 000 ,Not available,Active,робот,передний,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 462 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 694 000 ,Not available,Prime,робот,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,5 050 000,5 050 000,Ultra,автомат,полный,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 850 000 ,Not available,Ultra,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 184 312 ,Not available,Ultra,робот,передний,Бензин,Ногинск
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 450 000 ,Not available,Prime,автомат,полный,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 341 190 ,Not available,Flagship Sport,робот,передний,Бензин,Москва
Geely Atlas I,Geely,Atlas I,59 000,2.4,149,2018,1 150 000,1 150 000,серебристый,автомат,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,63 000,1.6,186,2023,1 980 000,1 980 000,белый,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,2 450 000 ,Not available,Tech Plus,робот,полный,Бензин,Химки
Haval H3,Haval,H3,Новый,1.5,143,2024,3 084 130,3 084 130,Tech+,робот,передний,Бензин,Москва
Haval Dargo,Haval,Dargo,1 000,2.0,192,2023,2 890 000,2 890 000,чёрный,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 795 300 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 920 000 ,Not available,Elite FWD,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,56 538,1.5,113,2023,940 000,940 000,белый,вариатор,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,5 120 000,5 120 000,Ultra,автомат,полный,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,3 450 000,3 450 000,Dreamline FWD,робот,передний,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.0,218,2024,3 298 000 ,Not available,Elite,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 121 000 ,Not available,Prime AWD,робот,полный,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2024,1 497 200 ,Not available,Action,механика,передний,Бензин,Ногинск
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 301 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,4 040 000 ,Not available,Ultra,автомат,полный,Бензин,Ногинск
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,245,2024,3 645 000 ,Not available,Ultra,автомат,полный,Бензин,Ржавки
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,2 330 000 ,Not available,Ultra,робот,передний,Бензин,Москва
Haval Dargo,Haval,Dargo,35 000,2.0,192,2023,Not available,Not available,белый,робот,полный,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,177,2024,2 519 000 ,Not available,Tech+,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 030 000 ,Not available,Active,робот,передний,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.4,184,2024,3 828 750 ,Not available,Premium,автомат,полный,Дизель,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 659 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 200 000 ,Not available,Prime,робот,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 325 000 ,Not available,Prime,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,372,1.5,177,2024,2 500 000,2 500 000,серый,робот,полный,Бензин,Москва
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,2 473 865,2 473 865,Family,робот,передний,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,3 663,2.0,200,2023,2 865 000,2 865 000,серый,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,68 592,2.0,122,2021,Not available,Not available,белый,вариатор,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 750 000 ,Not available,Ultra,автомат,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 190 500 ,Not available,Elite,робот,передний,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.4,184,2024,3 828 750 ,Not available,Premium,автомат,полный,Дизель,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 780 000,2 780 000,Active,робот,передний,Бензин,Москва
